id;idp_code;name;idp_sub;customer_unique_id;image_link;image;image_content_type;loyalty_point
1;Assistant;Generic heuristic;program orchid Investment Account;Security;Team-oriented;../fake-data/blob/hipster.png;image/png;30527
2;index;Auto Loan Account;Cotton;Implementation Western Sahara generate;scale deposit;../fake-data/blob/hipster.png;image/png;80509
3;indexing Chile;Extended;synthesize mobile;Direct;Villages fuchsia Administrator;../fake-data/blob/hipster.png;image/png;9354
4;Uzbekistan Sum;artificial intelligence;bypass Awesome Steel Tuna Spurs;Specialist copying;protocol;../fake-data/blob/hipster.png;image/png;56179
5;deposit transmit violet;Licensed;Kids;Chicken plum Accounts;multi-tasking calculate initiatives;../fake-data/blob/hipster.png;image/png;3613
6;Directives;benchmark quantifying Lead;invoice;Personal Loan Account Nevada;Court Balboa US Dollar FTP;../fake-data/blob/hipster.png;image/png;7945
7;white;bypass hacking Christmas Island;relationships Towels;AGP;ivory Ports Outdoors;../fake-data/blob/hipster.png;image/png;23124
8;transmitting Home Loan Account;Handcrafted Metrics;Shirt Liaison;overriding Rustic Cotton Table;approach maroon Branding;../fake-data/blob/hipster.png;image/png;4162
9;Central transmitting;Designer;Ball invoice;Savings Account;Equatorial Guinea Fall compressing;../fake-data/blob/hipster.png;image/png;90590
10;intuitive Electronics real-time;Clothing;upward-trending Checking Account overriding;Buckinghamshire Tala backing up;Future Egypt;../fake-data/blob/hipster.png;image/png;82799
